error,in_original,in_import
different GUID,3NRTYv$p90GxvOjrclI4YP,2Ek9Hwd1TFOBtXJuI$GWlA
different name,staallatei ??,IfcBeam - staallatei ??
different GUID,32CLSoCg14hfE5iozoDGK_,2mEyY3y510MR6jvtMypel9
different name,staallatei ??,IfcBeam - staallatei ??
different GUID,3SKFm8Ymn0Le7ijHCnKAuL,03AHVKivH14ev1rKEpjUwm
different name,staallatei ??,IfcBeam - staallatei ??
different GUID,1UZy64a655jeHfotpiaeQv,3JwF84NtDBZ9QkRGvdOubv
different name,staallatei ??,IfcBeam - staallatei ??
different GUID,0oBRFvaAL1LRec1DAUWZXx,35XSVtTBn6NhN0sDPV5jNo
different name,staallatei ??,IfcBeam - staallatei ??
different GUID,13lKJkBNr3Ihzig_2H1hMm,0m1ZUbLKPCX8B$D1TTUcSN
different name,HEB220,IfcBeam - HEB220
different GUID,3ZRYiyNFH08hTnlj_xBf6i,0GKi_fg3zANuLyk2zMzTw9
different name,K80/80/4,IfcColumn - K80/80/4
different GUID,11mo33UpLFjwOcPbSdqngd,39RYmJN6f7S9cvAQGUoZ8o
different name,K80/80/4,IfcColumn - K80/80/4
different GUID,1CsGhnRaDAb86NCoCwC08x,2HWsIdasj4vOdg9uBUL007
different name,K80/80/4,IfcColumn - K80/80/4
different GUID,3OrWvPz0L53vVLOcg_Vn3G,0A53iD45D3PAG7tGqRiWFC
different name,K80/80/4,IfcColumn - K80/80/4
different GUID,1NYbVKmtL3YP2AXrmS9FLZ,2Oo9SNA1XDiBMpwqZ_vcSD
different name,HEA180,IfcColumn - HEA180
Different number of IfcCovering in storey 01 eerste verdieping,348,0
different GUID,1ZFLyNI$fDRgE2KgYahsry,3uRiZXcXLByBCp44okEUrj
different name,merk A3sp,IfcDoor - merk A3sp
different GUID,3qYGwE1BDBbP2FWtfJUDNa,3SGhfFWDr9pes9CjAiM2N$
different name,merk A3,IfcDoor - merk A3
different GUID,1zWpVk7Az3eeFDJEw36Ky9,3b2jlxdYvFexRuaYEydEFC
different name,merk E1-R,IfcDoor - merk E1-R
different GUID,2u5XGmt4D2bRNIEXQ9IBsW,2JccvdMv1C3xiUZAiUBCHT
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,04E1PaUW1Fze4qITB_nFaa,0rfyFkxj57SgCMSuaYi$5e
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,1HDfKcH0v4VRSVJicriZF4,18aqfcbOj0PgmlJwfh1sKe
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,08IQ8vQ6n73vV7LBrwxuZu,0mP7twIGHC0R39Vl$m8Zf6
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,1fXWFMY$T5VwEu43MZumk6,0qYDKa_gv86OMrxItDPtn4
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,3VeGPWRHL5QfWdPbnVK9h3,2H0DiG2mL0u8LaRtJ_B$Ro
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,0K1kgDm1jFHfoPfMpxkAe5,0v8AJcDvDAAwB$$fXGWzGo
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,1a0yXwaPr6bQS$tJIhLQr1,03Mk2u84rEJhMuyEo0GfXP
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,0yGGfH85nFPvINarcAfBNX,1tjldF0kL3Rw_ZbNSsMjbJ
different name,merk E1-R,IfcDoor - merk E1-R
different GUID,2qY72vI$D0SenCZx1z6HDK,2c11TG2jLDnwVbgvmk5H79
different name,merk E4-R,IfcDoor - merk E4-R
different GUID,2VN0ufVPXBz91XSIqSEA4N,0brKCebxH3OuYyGa8zYVzv
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,1YmJTz8Sn4SxVWF6uxPIi6,1I$64eOHz3qOz3uMl6PIzq
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,3qU0EkhG9CDeH0fDWtriF3,1CvP2j61999w_jp93f_pGs
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,09NbJFNdj9fxN2xh$EA6wX,2u2xR6G6X7sBWFWJPNMVy3
different name,D1R,IfcDoor - D1R
different GUID,1Le1BurSf8iQTApHN20xGM,3WaR3lAF19mOxWa7MiUBxr
different name,D2L,IfcDoor - D2L
different GUID,0ETp$wstn6uO7g6ZydQW6K,0qeyi9MIj3mfaG0HfzcTTn
different name,D5L,IfcDoor - D5L
different GUID,14rAyAJ$L5nPK$yo6WYX5X,3iGFJNQjfBARbuRuVejte5
different name,D6L,IfcDoor - D6L
different GUID,0m7Z8$vfnDLxF9ZlRdjI6b,3y03C1B3v7GR3_$1cJ_2gk
different name,D1L,IfcDoor - D1L
different GUID,2i$ImWrU5CrPuyb0cxLRsY,2CUx8IGy93_gDvVVCVl8E6
different name,D1L,IfcDoor - D1L
different GUID,2zIan9UMbEDv$MtEuXRGaI,0UMl$5fO5EfRlC$XemptKb
different name,D5R,IfcDoor - D5R
different GUID,275N_u7Z9EtgoRNFproXEn,1m_N9KeeHCJuu75EGDYEZu
different name,D3R,IfcDoor - D3R
different GUID,2wNrfbWo5F3AXCQjcATu9n,23xUWt2BLF5ghtX4_jts5H
different name,D8R,IfcDoor - D8R
different GUID,2mNENoxwD4MQMQY_gKi$v7,0t4cKyUUP0_gGUw3kilbGz
different name,D7L,IfcDoor - D7L
different GUID,14tZx$UMb8cBHoti0zk1Nr,3PkhOKjr51Tx2tB8E1OQ6l
different name,D2R,IfcDoor - D2R
different GUID,0paFAbnyj3DQz4eYs1LQRb,26e9dgUlTAfxGI_vjYKY3f
different name,D1R,IfcDoor - D1R
different GUID,0oXb8$CCzDygbz5_8Oxzxv,22RDA4Lnz4NQYMae6gNr0x
different name,liftdeur,IfcDoor - liftdeur
different GUID,12kDL1eWzET9Qm2diwFxeL,3zxZELS6T3zQ1HpEvavYyX
different name,liftdeur,IfcDoor - liftdeur
different GUID,3FUHlAm49BC88X$DRC3IqI,2nkgVQr159PPbHLJllkU2c
different name,D3L,IfcDoor - D3L
different GUID,2XH6N5hOT3yAuGpef5XEDg,1Ptjn$o_j7IA_Kv3dDBJOF
different name,D1R,IfcDoor - D1R
different GUID,0WcADPJA571PyQI1eSlkC4,1sGbKjmRP5jwXe9hjITpIp
different name,D5L,IfcDoor - D5L
different GUID,0hLbfgnI116fYrSi5yltYv,1VjTFX2qLFuAXH1Okfddoc
different name,D1R,IfcDoor - D1R
different GUID,3LHBKM1sPCkOXvRtwp$pev,2TQXoCU15BO8bSrg91n_21
different name,D4R,IfcDoor - D4R
different GUID,26_$0XSjr4qx6Hsbp36s4D,2g7CRICqbBg9go3NgiqbMO
different name,D8R,IfcDoor - D8R
different GUID,36ovl7bSP7_8ZDfLgjHA1Q,3NzqNEAzjBuv5xrwzuMf6R
different name,liftdeur,IfcDoor - liftdeur
different GUID,3vVPMVKpv8WR4t1AhJIyPH,2ZqAgPFWr9dhFyoP9QQt9i
different name,liftdeur,IfcDoor - liftdeur
different GUID,2i1Z9kKWv4ie2N0CBoZWie,2h26a_PozEReGClMKnprS6
different name,liftdeur,IfcDoor - liftdeur
different GUID,1weVzahvb12Qj14QP5JtRt,0pTer3e0D3LwUc7DuS4SXQ
different name,liftdeur,IfcDoor - liftdeur
different GUID,3D1M31qn1D9eCfALMUlAC6,0JMC_afHPCbvqq3$gG8nVX
different name,liftdeur,IfcDoor - liftdeur
different GUID,3Ch3PayTPB6BbnIbMg0VDz,17e_E9k1TCnxVVV0jIckmQ
different name,liftdeur,IfcDoor - liftdeur
different GUID,1lOvmnURjBcPf07ELTOqCT,2FA8PjK$bFGxeDg2e4bV6b
different name,liftdeur,IfcDoor - liftdeur
different GUID,3topRXa9T1svryvk0HDA1V,00jog21pzFDePKNMZBnXKL
different name,merk A3sp,IfcDoor - merk A3sp
different GUID,0DE9eeknn1UwV6HdBQLtSn,1EF9Fln2HA1usKYFPuj4iD
different name,D2R,IfcDoor - D2R
different GUID,29ln2Cp8P9jBBVLpq36yJx,0cWxOgDizEq882HqG_rOkO
different name,D5L,IfcDoor - D5L
different GUID,0REpZXGX116vUWlC_COT3l,2a_EgHO51By9CcXqQxHCQK
different name,D5L,IfcDoor - D5L
different GUID,1X$gsMt2nFuv_fouZFh5_Z,0k7JU07Pb67wveZRSgGS82
different name,D1L,IfcDoor - D1L
different GUID,2Du$joV9XChBACVeEuRrVe,3TtYkx2UPEqf8$WTUjhDPM
different name,geveldrager,IfcMember - geveldrager
different GUID,38Qe2zvj9E0OBObNVI4$Zz,2ECP4WW7j23OcztS5vJ6qj
different name,traphek,IfcRailing - traphek
different GUID,2jS7doCMf3$gQseynrXN3R,2XuJylWTn9MRD$B7WvODQ7
different name,traphek,IfcRailing - traphek
different GUID,3ludkXavX0QO$8K8MPt6DU,1WbPbwk9v8pxC7wERo9AKZ
different name,doorvalregel,IfcRailing - doorvalregel
different GUID,3IbCylBM9Br9aZ0O8sjBun,1I7XsXZMH45R_bi34dh2iM
different name,afscheiding,IfcRailing - afscheiding
different GUID,2d4vy8vcj20Bafo1W9udji,2QS7itKwPAVw81PuDGnUlU
different name,afscheiding,IfcRailing - afscheiding
different GUID,2xqHe35hv3POCFIMSVSI8z,0Gw06uBD57yhwN_cc704fe
different name,afscheiding,IfcRailing - afscheiding
different GUID,3cIEhaoMTBmRz3MyKyfeg3,3M3OhQrlDCWBhSOfBkh2Dr
different name,afscheiding,IfcRailing - afscheiding
different GUID,3IIh87vTnD4A6vdLUQS2Oe,1cBY9lLG5AJRkzlX5jqgqF
different name,afscheiding,IfcRailing - afscheiding
different GUID,2chnvDXfTFpwmnexcYvbMb,0U2spD8z97qBlsILRmcYMN
different name,afscheiding,IfcRailing - afscheiding
different GUID,3pp$tut394gvh1elE1QUg0,2FUszgc_LDt9bL_diLEi8j
different name,afscheiding,IfcRailing - afscheiding
different GUID,0hoCeVodP28uiVrRVP6$eg,3yFHXD4fr4TQ2UWPCP75Tj
different name,afscheiding,IfcRailing - afscheiding
different GUID,0DSnD4Ox56JQ9EnQB9RZSl,2qGuN0iG172PvmSzO24YjW
different name,afscheiding,IfcRailing - afscheiding
different GUID,0BFKBVp5j4I99mDywZOyl1,3S8J$sRNjESRM1LzdH7XuN
different name,afscheiding,IfcRailing - afscheiding
different GUID,3507eK6cz8GgD8LOtm7DX1,3IbaTNAwL2R9KGabokn07z
different name,afscheiding,IfcRailing - afscheiding
different GUID,0tBGrmMgH7A8ZNmLYPMp64,1ZUfqYpKrE4xIKoSL8f1md
different name,afscheiding,IfcRailing - afscheiding
different GUID,08TAmVL5zANxEAKB2zGRnq,0YKZFxH_rBYPpY2QEG4MEC
different name,afscheiding,IfcRailing - afscheiding
different GUID,1aIHAtaRH2KfL3oiGGP2dl,1ucd82Gy10peT6r3TfZtYN
different name,afscheiding,IfcRailing - afscheiding
different GUID,2zuL$9rZTBtO$YH7gWs8$I,33u$kyipv1KRPZYF7ReDJO
different name,afscheiding,IfcRailing - afscheiding
different GUID,1kUFGseD103u4BFiv5Vn3G,1byh1rdEP0lgeVtfR8cgyJ
different name,afscheiding,IfcRailing - afscheiding
different GUID,0G5pICjEv0lRYQTb8ZOqUB,06vVcQVpL1zhoEBg40cN3g
different name,afscheiding,IfcRailing - afscheiding
different GUID,0XXgMis9HBSh81wobgymNk,2cAT0UXpvEMQYLAL4dHrR_
different name,afscheiding,IfcRailing - afscheiding
different GUID,1Q0kMfUETAGg$GA3i1tdOW,3aGIRnPAb5wh0EJan$qeBk
different name,afscheiding,IfcRailing - afscheiding
different GUID,0pFFmR0nr3VeFEpxAApon9,2Bat3EJKb7u8GpnLWWZs3b
different name,afscheiding,IfcRailing - afscheiding
different GUID,1tso8uyOP408J$2k9zM55E,0lm8wDdk18ih_UPsIvX0Ki
different name,afscheiding,IfcRailing - afscheiding
different GUID,1pa426bWv6xPnTJvQSUaMC,1WAFAAmnrD0hK4tS4NOZto
different name,afscheiding,IfcRailing - afscheiding
different GUID,2EWFNQA152oRzd_EBfr6uT,1fJOC5hJj0EPdr7O8Q1$KS
different name,afscheiding,IfcRailing - afscheiding
different GUID,11l$hD7jv8jwvjooQlt2FZ,1My3Ed5ynARh5F_W38RSlU
different name,afscheiding,IfcRailing - afscheiding
different GUID,3sdCktPNvC0uV4NNgbJWLv,2T2NLgbCP9iuw9LQMpBpW1
different name,afscheiding,IfcRailing - afscheiding
different GUID,23JeFZDKD8y8FV9a$w$rCJ,11HrWVD3P7ZAK2SFjPad78
different name,doorvalregel,IfcRailing - doorvalregel
different GUID,3R0aI_JdHD48zVbQjd5Ze_,2lvOvgLIn4qwCcTaCCGrGD
different name,doorvalregel,IfcRailing - doorvalregel
different GUID,0jnTQov8rBlwaue5hK6wre,3mHoPKlY18ChwU282_Gjln
different name,doorvalregel,IfcRailing - doorvalregel
different GUID,1rcblQbSX0w8i_vHHFGq3M,1k0QGGESbBouPYSXG2BJH9
different name,traphek,IfcRailing - traphek
different GUID,05ZZdIzTnEbQa7eCaF53yx,3RE0v_0bT39ufrf4HUT8dK
different name,traphek,IfcRailing - traphek
different GUID,1aYgiQASf1QAHaQ9qpbxvu,1pbEEIBYr99hOpaAH1MQc3
different name,doorvalregel,IfcRailing - doorvalregel
different GUID,0wBPIKW6H2KguQzSAxeUoI,2m2lWnBRDB5hEioVISLPFd
different name,doorvalregel,IfcRailing - doorvalregel
different GUID,3GbtyA4hj1QvdqYJ9YysW7,3dsIQfODz6hgVAY3rSg_2l
different name,doorvalregel,IfcRailing - doorvalregel
different GUID,07cz3VpcX8afcodIcmaPPM,0GtcDb_6L9MOQfzTYYVf7Y
different name,doorvalregel,IfcRailing - doorvalregel
different GUID,11$FOiP4fDMwiMWtHH9Tcg,33fHQ$K0nAIB$J4nTmi5aR
different name,doorvalregel,IfcRailing - doorvalregel
different GUID,3JT0$Yycb3fxz4HlsjVMEb,3Uzm$mDdv5Wwmtit_czJUu
different name,doorvalregel,IfcRailing - doorvalregel
different GUID,0QMRbnWY93Av6dpvLwMXTd,3s59AN8kH2_uyQihpssoXa
different name,vloerveld,IfcSlab - vloerveld
different GUID,1OIsB5jXb41PiO2kBNmaM4,3$2okC2oLFmvBeGQ55wtDP
different name,vloerveld,IfcSlab - vloerveld
different GUID,3Yfh_tf2L3dOftkR7mQtLp,3UN9fP6rbFkxsmu61f$HbA
different name,vloerveld,IfcSlab - vloerveld
different GUID,2s_5IkW0XAae4X3I5zK7q4,27OZwcgvnEXPchXZ14Kp0Y
different name,vloerveld,IfcSlab - vloerveld
different GUID,3LhtKzwFz6VPKSl6QvG8CQ,1pDG9dl_X2PPlJ9PRCq$S_
different name,vloerveld,IfcSlab - vloerveld
different GUID,1qvBT5n4r5kOSwFD9L8K0o,0MqBuTVgvC4BV_xHN3emNV
different name,vloerveld,IfcSlab - vloerveld
different GUID,08ZXIC9eHDWRVFOlPhj72E,1S82EP4tz2tQCI_XO6XgiR
different name,vloerveld,IfcSlab - vloerveld
different GUID,3BapTVi1vFMBnwVYgcGczp,0ZPuuzM$j2IhePub1HhbWK
different name,vloerveld,IfcSlab - vloerveld
different GUID,2TidtDbWz2HfSqssh$GYwZ,0$9rXrM6HAJvRnoPy0kzF1
different name,vloerveld,IfcSlab - vloerveld
different GUID,3bTNRD3VP7Z8V5Qra3JwOp,3o$QH_74fApwiDlfd0Uliy
different name,vloerveld,IfcSlab - vloerveld
different GUID,0R4623l2TDzenWFiIiswM1,2QCYXIG7fFgef6ywmKCz9f
different name,vloerveld,IfcSlab - vloerveld
different GUID,1kiS27OUHAY8wNtz_qX8bj,1BvQvjm9P0EQkaASlyiD9$
different name,vloerveld,IfcSlab - vloerveld
different GUID,2hh9UjWIL2w9WwuMjzqstz,32DogqmH19cud87YN2_TpC
different name,vloerveld,IfcSlab - vloerveld
different GUID,1dCrpUZmvC4umTbPe7ddOk,0RoUTrw_r1ZelxH1eMnemW
different name,vloerveld,IfcSlab - vloerveld
different GUID,2ah3ltN7nCQ9VF6L1zEK1m,3xU04Devj1ZQ9CXBQb2jVz
different name,vloerveld,IfcSlab - vloerveld
different GUID,19E2QmV$L6c8DOIYygVF1N,2PiASrVpP6OB_nXXtksMGQ
different name,vloerveld,IfcSlab - vloerveld
different GUID,287l_KcXPC0g4vq6mShiRv,3NRB42kPH6IftDsJHCh$J0
different name,vloerveld,IfcSlab - vloerveld
different GUID,3o6eM88iDBLBW61gt9z35u,3y9jWz9q53DA5wYYz7_XQu
different name,vloerveld,IfcSlab - vloerveld
different GUID,2qB4dVXdn65uKV2yWsW_6l,3VZw4YdhH2AAcnO9xw$VpS
different name,vloerveld,IfcSlab - vloerveld
different GUID,23_XwbBRjAB8x$lT1cavmp,3DYRbYMrT9pxoBWpeInj0j
different name,vloerveld,IfcSlab - vloerveld
different GUID,0bxMIwnGLCbgjsQk43tTK$,3cO_mxGA9AhBaYZSdvrzcD
different name,sporenkap,IfcSlab - sporenkap
different GUID,2H6QJz_7XBA9rec338IzRM,0zB__2oAr8Z92f3mRuKW3l
different name,sporenkap,IfcSlab - sporenkap
different GUID,0DFJCuN8r6WRVW_GxdBvRT,3OtjUIcV59NBjGIIZUOOaE
different name,sporenkap,IfcSlab - sporenkap
different GUID,0oWZTX4_z54hp752v_Qa42,37krxHxfrCj8_o59wpWQUQ
different name,sporenkap,IfcSlab - sporenkap
different GUID,1c7GSzzuj1WO_Gs_23Ca4q,3MSZYxrSPAEvkODISDSoCH
different name,sporenkap,IfcSlab - sporenkap
different GUID,22nWq74YPFteCBjUc6JjZ0,2KZ1FGui54efGFsIEk_I4j
different name,sporenkap,IfcSlab - sporenkap
different GUID,0uRa8_$V12fwPAz12OHbBT,3fASCktyv5Gv2_Lnzve9fY
different name,sporenkap,IfcSlab - sporenkap
different GUID,2X0E5JmgP1luFCa0knY3CG,3eyfLEyJj9jg7ZuguHx_xu
different name,sporenkap,IfcSlab - sporenkap
different GUID,0OJWn0JefCv9hzpdii2Imm,3DlQkkOT191eOemii4eKUd
different name,prefab balkon,IfcSlab - prefab balkon
different GUID,0uAZdPNur5UQMtvFbGsfuY,0jF5WXrD99XQtzyr4wRZOx
different name,gootconstructie,IfcSlab - gootconstructie
different GUID,2QwOZORnH1U8$Obabf6tRd,3dZ_Iz7iT9wP6ckPpoJuLA
different name,gootconstructie,IfcSlab - gootconstructie
different GUID,2QJ29Th2j3j9j2_UL9ptc3,1UZjfAVXLFcBE2A75Ljy_p
different name,sporenkap,IfcSlab - sporenkap
different GUID,38Mg2Gj2T8XwRV2IuUentp,3Rt4xKdEbAiu7e02vHJ3el
different name,sporenkap,IfcSlab - sporenkap
different GUID,2tmREkUVP0KhkDPItRVwae,35_eVOU2D0twQbrHOYwYpn
different name,dakisolatie,IfcSlab - dakisolatie
different GUID,0e2AmNgkb1Gflqp22P2CPd,1XIBxc4_T1Qf1$agzbX6tL
different name,dak dakkapel,IfcSlab - dak dakkapel
different GUID,0m_7iL50T1pgK3U7zqTZQ9,09GqoFqaf9VuGpSl0L_wDn
different name,dak dakkapel,IfcSlab - dak dakkapel
different GUID,3PYbhELXr92BK4WMFmpGVj,196ja2qP9EgvdhQq4wcgHu
different name,dak dakkapel,IfcSlab - dak dakkapel
different GUID,1K_rplvXD0rO3a2dNEYcoq,3mhYE01wH3HuvFQmRDgzJc
different name,sporenkap,IfcSlab - sporenkap
different GUID,0UG3QiMpzDlg6DLAqExEcS,3AmwwRNfLA18$9ULalTjRO
different name,sporenkap,IfcSlab - sporenkap
different GUID,2OgpDYzvL2QhgeI9VmDEUN,2zpKQGrC908ejSyYo8fhzo
different name,dakelement,IfcSlab - dakelement
different GUID,3GhhN$uvX5igu88pzhiJv8,2wLZHjFSzD9gAAjrjoQD5E
different name,dak dakkapel,IfcSlab - dak dakkapel
different GUID,1dQx3P9dH7vhwAJwVUYYGE,1dyhjMl8HAi9Y0boeE72Xj
different name,vloerveld,IfcSlab - vloerveld
different GUID,1y_z8K3DLD8P7YJTBHImTW,129kNuCg1CcRaFjz85rwOh
different name,vloerveld,IfcSlab - vloerveld
different GUID,2aLZDRWLv3kBhXLwCrnxSH,3lQ_j88VD5c8WGW7B3tGqB
different name,vloerveld,IfcSlab - vloerveld
different GUID,2MGtJUm9nD$Re1_MDIv0g2,2RtEdkNEL68vCD9ejFg1cq
different name,dekvloer,IfcSlab - dekvloer
different GUID,047hRisLn70Bn_GLMR1G1S,23i8z4J_L8UBmE3AuPX3OO
different name,dekvloer,IfcSlab - dekvloer
different GUID,35N2HpIELEtPD3xssMGgew,2ff4nvn35EwBwl12HHCDHB
different name,dekvloer,IfcSlab - dekvloer
different GUID,19cnP4Bm90V9KyCekAFXxu,0EOHUuyGj4hAEIADAeCOgv
different name,dekvloer,IfcSlab - dekvloer
different GUID,3qewII9V1EEubSogUzOIBY,1xdzLKaOn7EQAKxvv$jhQv
different name,dekvloer,IfcSlab - dekvloer
different GUID,1ERFleB4fBBfBOswxk$Xdp,3pEvjYtO19_hNauJmVIEns
different name,dekvloer,IfcSlab - dekvloer
different GUID,0KiQHeBg1E1vCJHKQmVSFE,3wU5J8F4f4CvRb03nv$uFD
different name,dekvloer,IfcSlab - dekvloer
different GUID,0RPHfQWPHBdBX1ccCVEpVD,1rmZ7tMIj69fMvq98459kz
different name,dekvloer,IfcSlab - dekvloer
different GUID,3ycHvSZkr4dQo86guV5eIK,0YahEicGfFIQQqGhh1PcSW
different name,dekvloer,IfcSlab - dekvloer
different GUID,3TyRkCAozEAhemCLbgpc0y,2OM_r$QoL0sgsfE8tEPtuo
different name,dekvloer,IfcSlab - dekvloer
different GUID,0MI_2HZ992Bx$nIp0Ts0HN,0fuOenVQ18oxCmvnDt_S$J
different name,dekvloer,IfcSlab - dekvloer
different GUID,22n$AYXlT6Du$WGeK8$9Iq,16pjY1yZX7ahhPU98NcbnL
different name,dekvloer,IfcSlab - dekvloer
different GUID,3z$jhdTIz3KQIVA03ccSlX,3CTHzE1kX3$gIpsKACKdhr
different name,dekvloer,IfcSlab - dekvloer
different GUID,3lhisrBxL8xgLCRdxNG$2v,3U5J6oz298kxexcQd14L_o
different name,dekvloer,IfcSlab - dekvloer
different GUID,1hLy1Edbj5rgNEl39t96Zu,029XZwa95BjBWcP0pYXCfa
different name,dekvloer,IfcSlab - dekvloer
different GUID,3U5VF90aX4EPY0n0sy5tfn,1Q9ABoQZH8PRUpe_F5jeDo
different name,dekvloer,IfcSlab - dekvloer
different GUID,1TMPN6ORz3V97VjLq_yYT$,3LhWt2pvXCgxuLr2tYmUdl
different name,dekvloer,IfcSlab - dekvloer
different GUID,20WcZDP8zBu9vHK_3hpKya,0DnzjiwijAPv3vswrRF5ti
different name,dekvloer,IfcSlab - dekvloer
different GUID,1UW7PE1gDERBLJr$nLgoec,0O5ZXUa4n5MxwSaclbmmI6
different name,dekvloer,IfcSlab - dekvloer
different GUID,2WXOgWSjzCfR4IRJ_Z1gjK,1rkytDw6DA0PZZSY86vOdc
different name,dekvloer,IfcSlab - dekvloer
different GUID,13klpZHlDB8wG49s9DUIV8,3qcTuQB1LCnAzpgvB58Ieo
different name,dekvloer,IfcSlab - dekvloer
different GUID,0K6QmOqO9ATe9WGMwhBHoC,0mUcnsVcPFZfodGCOPZynk
different name,dekvloer,IfcSlab - dekvloer
Different number of IfcWall in storey 01 eerste verdieping,187,268
different GUID,2oT9F5t_D3r81DfUpoY23W,3l$5QM1295u8wIrk7j0yZx
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1cApy3tf55$ewMiOVVXpAY,1WnRvsEPH7wfSITfArS68i
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2dyqlxLyzFvQOjQrGkU4$r,2ygj2FYLb6iQj6HenK7qy3
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1xfcxY2sf3LB1ysF5_X4I$,2i4pkVQZf1mg9ggINdBmAC
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2Qc0XfkND1d86$Q97dSDkt,0dkZwDdObByQaxhh$6Vq9k
different name,merk B2-R,IfcWindow - merk B2-R
different GUID,2u4Y9RrS9E7e46nkx$KtkD,0JA1_G0ejFMPm3WqAXJFmV
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,09l8RUnHH77g7h7SXJ62Iv,0kT_uxMHfDTR9hU466Qb5Q
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0XEOt5SHT7euOAUEqbQw0S,1ZBHuae316zf5i29VHQa9N
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2$G2$L_ZfD2xyYJh6wxmZd,048YcuEgjBDOlDMFsAkhdi
different name,merk B2sp,IfcWindow - merk B2sp
different GUID,20drR2J4r4bPUTTBVjW_Vz,0m_0jZiIH8m8Gld1M3SEBJ
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1bd$IrGA53LQPvMq9gVcx0,3zLhXamE5128$VMqV4tQd8
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0zufCFef19dhrSAn7n7kDY,1Oh9_fcgzAvu564TuFGFGl
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1CNomnrdb3CeKqRVaml6Zj,0Q0b0TmCP6EecXsqO838gR
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2RXwC8nPLBKOSiamyBX0qt,2WABwQrAD0nerwQCBRIsHB
different name,merk B1-R,IfcWindow - merk B1-R
different GUID,2jJseFS1L1B8boC45FrAL7,1AyzAl1VT99PO8OD6UgdPx
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0FcHfq3eXDUvB1x$PxjHW5,28jzp83jjD4edoTzpYELut
different name,merk B1sp-R,IfcWindow - merk B1sp-R
different GUID,2BAFeLAfrFmRqNR9mOZjZA,3AXt0si3XAhfIGZWLEDmsA
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2ViuBjcVj8z9LMZmOsdtUZ,1qEguO3fn3rRVwrg03jJpx
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1QutPMQ5z6MggQuGh8QPeo,3sJx$Q3p90rvn$AHWB9vDW
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1ToOMg6mH3uPQ6JhObMAbP,1O0OyxYbzEWerQ22hpPKDA
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3TvWm44N9F5RIa$fhkiYVg,18YmyyT3PEPg_LY$aQdfRP
different name,merk B1sp,IfcWindow - merk B1sp
different GUID,1T2P9SD_v7pusuMZ3NUpjC,0V7cJXTJvBNBpzLmzBXHUH
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1PmQ6CQbzAMgXxD2pXWt3a,3s2EZ7B0DE6fHddgT6Pjy8
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1pPLUmJvHBYO$OdiNX3HUz,2FuJrwghX0bv5eHpgukXG0
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0y9v8B7Jz8XQeHm3h61$Xt,3V83HERGzE6gehC$aT0UHt
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3UNWn7XCf1hwvlPusg1icu,1eWJRZkdXAGPTlvNwd3rp1
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3upcShrCbFfh0jm4mYUUdu,1Bw87gAbvB3ewOrB4_8NI4
different name,merk B1sp-R,IfcWindow - merk B1sp-R
different GUID,2aI12utMz8aQ3peDg2uVuG,0U3ZW8Lk552Oo5oMpF59pd
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3YkS_khHDAjAeJXiOfwXwm,3l7s7GV_93qPdTAsaUVwOL
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0KGCtyQFv4av1Wdj6buj7k,0wR1Qoo892h8vw3Douglcy
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,16TvrQb8bFTPpj$qS6T5ri,1StiaXV3X8lA4pUhPytDas
different name,merk G,IfcWindow - merk G
