error,in_original,in_import
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,0O3slHyAT0WgNB1xnKYnaE,3vDrFpihL7q87xdxi$x2Z7
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,0ZNb2THTz00eu1RAEsgAJm,2Z0B3Gt2LBLh3bww6aiI87
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,3IAsrlzln2x9CGCwGk5aBc,2b8a5Y_$n5yO1QNasVmJcr
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,0ci9nEgpD5hOOJ58LmeO5E,1yB$u595nAkPGI_1HAH$fs
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,2WU8Fxger4FOI4ySi472UL,3i1SCSMFjBs9rDi2xNFXF0
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,2$o2jRMbz4Ug6JAhiXdSr5,0jWmoiB511ZOSk6zMj$_S3
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,2O5ano1e1EJeQxf8IVwahY,1V_rZ8hXz2bw7AgSI67HBW
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,0B9KdcSuf3jh8POLbkPzQ4,1Pwgfb2gjFs9hcRaczr5hb
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,0B9hE_gGb05uoY$Fs9k827,2bYvxLkRj2pQZ7Tt0F_c9d
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,0YHiCuhWH8Qh_HTW9vOiHy,2q4wo0H6nCzQdC2CQV3dVB
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,1h4sXeQ3fCCQTfDg40kePC,1AcPk9YrL4FuIQ8BUe1YA5
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,2KQzcnl4P108p1xYLp2BcG,1f70TAPd5AGQs4Tx1hojSf
different name,merk A2sp,IfcDoor - merk A2sp
different GUID,1btohEUvb9RxFSreiwC9NA,2gwHH0iPj2Ixt5Y4k1_LTU
different name,merk A2,IfcDoor - merk A2
different GUID,1dnueTAkL0h8RlVLQtwd3w,2h7xgDXe519vp9NAV4Ndv4
different name,merk A1sp,IfcDoor - merk A1sp
different GUID,28KVDgny54GgQmudzivmSF,1j1v1Hh5nAGBAX4TggiilK
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,1oUU4liMH32hV5EvVPxQjH,2SD7pXuQPBGPdV5XoCT6K6
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,0X248I49P2ruJd$STte42p,3dnaCdwM19ORt3VzGQ7D$D
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,2lRzoejMfDL9Jj8LLmEFKf,3Q2tKNwPL4r82Z7FhMYEZv
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,1jm08JDI1AxPr7MMlr69d8,3R2JPuuh96WPpgb5JnfsCc
different name,merk E3-R,IfcDoor - merk E3-R
different GUID,2VhjvgnFDDXBW8fTsJGXX_,07nd4dAjDCfxF0FhvnU25X
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,0zCkMWkdv5GfPfhUIwPa9J,0TjHEHsa1Bmfxy8$W40s2F
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,0FjOoBbcP2FxJiAEY$_Ky$,1tPxeHpf1FM9QmOPjIjwWE
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,1N$Oi2JN18FvfRlqLXpxqx,3iYx7s9C10vAGp0lihyQQA
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,1k3S_FTjr5YgVNsOxgXfqg,0MJamlqIf7FeCVRECwIFYF
different name,merk F-R,IfcDoor - merk F-R
different GUID,2hVrKM8Vv2Xxs7m9ITda8L,3dQSGInCr7guWNN8Gv_fm$
different name,merk F-R,IfcDoor - merk F-R
different GUID,0yy1u9ooTD5vShTp5wGvUE,37eGZx9Tj68fgK2FB7GSOL
different name,D6L,IfcDoor - D6L
different GUID,3YCmX8dc506hVi08zLmpbh,0uumskptL6CBDsDHm_qvNn
different name,liftdeur,IfcDoor - liftdeur
